ST,NG-STAR_CC
2194,439
2195,3597
2196,2047
2197,3380
2198,754
2199,4713
2200,2192
2201,199
2202,427
2203,55
2204,1124
2205,433
2206,1124
2207,427
2208,199
2209,896
2210,958
2211,958
2212,73
2213,352
2214,90
2215,4353
2216,307
2217,1958
2218,2035
2219,870
2220,Ungroupable
2221,2028
2222,801
2223,4422
2224,63
2225,2117
2226,90
2227,63
2228,931
2229,Ungroupable
2230,124
2231,42
2232,2053
2233,Ungroupable
2234,309
2235,4735
2236,352
2237,309
2238,233
2239,199
2240,2655
2241,1271
2242,Ungroupable
2243,73
2244,3867
2245,199
2246,199
2247,199
2248,37
2249,2436
2250,1687
2251,348
2252,199
2253,90
2254,90
2255,73
2256,199
2257,90
2258,199
2259,124
2260,199
2261,199
2262,Ungroupable
2263,1696
2264,2430
2265,124
2266,199
2267,199
2268,124
2269,124
2270,3867
2271,517
2272,127
2273,1179
2274,348
2275,428
2276,1118
2277,38
2278,199
2279,1696
2280,1696
2281,38
2282,2336
2283,3264
2284,2254
2285,2336
2286,346
2287,2336
2288,3336
2289,38
2290,38
2291,199
2292,1696
2293,199
2294,1118
2295,199
2296,348
2297,199
2298,199
2299,1696
2300,428
2301,1118
2302,428
2303,1118
2304,1118
2305,1696
2306,1695
2307,199
2308,514
2309,348
2310,1179
2311,1118
2312,1105
2313,127
2314,1698
2315,3292
2316,929
2317,2436
2318,514
2319,1142
2320,514
2321,348
2322,199
2323,199
2324,127
2325,501
2326,124
2327,199
2328,Ungroupable
2329,124
2330,798
2331,1118
2332,2473
2333,2758
2334,2457
2335,1696
2336,2336
2337,2337
2338,428
2339,199
2340,3805
2341,798
2342,73
2343,346
2344,501
2345,1687
2346,501
2347,1179
2348,501
2349,348
2350,497
2351,433
2352,221
2353,2352
2354,Ungroupable
2355,2351
2356,1687
2357,Ungroupable
2358,199
2359,199
2360,2457
2361,90
2362,90
2363,497
2364,1656
2365,1118
2366,127
2367,127
2368,309
2369,199
2370,2473
2371,199
2372,124
2373,199
2374,497
2375,1118
2376,1463
2377,2473
2378,428
2379,199
2380,Ungroupable
2381,497
2382,2473
2383,2473
2384,231
2385,38
2386,2473
2387,452
2388,3285
2389,1464
2390,348
2391,309
2392,2435
2393,199
2394,2336
2395,2454
2396,90
2397,2336
2398,2351
2399,1096
2400,199
2401,426
2402,1124
2403,199
2404,2480
2405,127
2406,427
2407,2352
2408,427
2409,Ungroupable
2410,3264
2411,1464
2412,199
2413,436
2414,427
2415,2480
2416,517
2417,470
2418,199
2419,1464
2420,2337
2421,1216
2422,2288
2423,1464
2424,501
2425,5119
2426,427
2427,199
2428,199
2429,199
2430,199
2431,124
2432,199
2433,199
2434,3292
2435,199
2436,124
2437,127
2438,199
2439,1696
2440,1696
2441,2336
2442,1696
2443,1179
2444,2431
2445,38
2446,199
2447,1696
2448,1118
2449,1118
2450,2436
2451,3292
2452,38
2453,1118
2454,514
2455,1687
2456,2454
2457,199
2458,345
2459,1118
2460,2467
2461,2454
2462,4089
2463,1118
2464,1698
2465,501
2466,1695
2467,2467
2468,3336
2469,2351
2470,2473
2471,497
2472,2453
2473,2473
2474,2473
2475,2473
2476,426
2477,1124
2478,2289
2479,428
2480,427
2481,199
2482,127
2483,1464
2484,2473
2485,2351
2486,2480
2487,348
2488,Ungroupable
2489,1118
2490,2438
2491,1142
2492,929
2493,2530
2494,1118
2495,497
2496,38
2497,1698
2498,1463
2499,2499
2500,2473
2501,124
2502,73
2503,127
2504,199
2505,1144
2506,199
2507,1696
2508,1687
2509,1707
2510,497
2511,497
2512,1340
2513,38
2514,352
2515,4353
2516,1223
2517,1560
2518,264
2519,55
2520,3574
2521,427
2522,2538
2523,3597
2524,84
2525,190
2526,158
2527,2028
2528,38
2529,1118
2530,38
2531,199
2532,73
2533,Ungroupable
2534,90
2535,348
2536,2473
2537,427
2538,427
2539,199
2540,1707
2541,2288
2542,221
2543,2479
2544,1695
2545,267
2546,520
2547,90
2548,190
2549,124
2550,142
2551,124
2552,124
2553,3087
2554,15
2555,307
2556,Ungroupable
2557,20
2558,1115
2559,1603
2560,352
2561,1054
2562,1054
2563,401
2564,124
2565,63
2566,929
2567,127
2568,1096
2569,3311
2570,949
2571,158
2572,517
2573,192
2574,348
2575,1958
2576,1340
2577,1958
2578,199
2579,1771
2580,190
2581,433
2582,577
2583,124
2584,90
2585,1353
2586,352
2587,3087
2588,455
2589,1839
2590,304
2591,17
2592,3477
2593,426
2594,231
2595,Ungroupable
2596,426
2597,4825
2598,567
2599,1194
2600,1359
2601,426
2602,158
2603,2064
2604,1271
2605,63
2606,Ungroupable
2607,90
2608,289
2609,520
2610,427
2611,1387
2612,427
2613,1340
2614,427
2615,42
2616,2720
2617,1340
2618,436
2619,2069
2620,63
2621,426
2622,124
2623,4386
2624,2047
2625,2117
2626,1771
2627,2724
2628,Ungroupable
2629,1458
2630,1271
2631,311
2632,2047
2633,26
2634,Ungroupable
2635,309
2636,85
2637,309
2638,1238
2639,217
2640,1096
2641,2028
2642,5603
2643,1115
2644,307
2645,3087
2646,567
2647,1900
2648,567
2649,606
2650,1958
2651,426
2652,520
2653,442
2654,124
2655,301
2656,426
2657,442
2658,307
2659,567
2660,1362
2661,3178
2662,2454
2663,90
2664,4960
2665,1543
2666,1054
2667,1054
2668,559
2669,1054
2670,2209
2671,Ungroupable
2672,15
2673,352
2674,468
2675,42
2676,348
2677,348
2678,348
2679,348
2680,267
2681,90
2682,90
2683,1229
2684,22
2685,348
2686,127
2687,90
2688,199
2689,90
2690,127
2691,348
2692,127
2693,1236
2694,127
2695,124
2696,124
2697,319
2698,90
2699,464
2700,127
2701,Ungroupable
2702,514
2703,Ungroupable
2704,754
2705,1885
2706,63
2707,63
2708,1387
2709,1387
2710,Ungroupable
2711,Ungroupable
2712,442
2713,Ungroupable
2714,73
2715,168
2716,Ungroupable
2717,958
2718,1883
2719,433
2720,2720
2721,958
2722,2167
2723,1362
2724,1958
2725,Ungroupable
2726,1271
2727,1387
2728,1298
2729,1885
2730,199
2731,63
2732,1387
2733,1353
2734,1997
2735,38
2736,3800
2737,199
2738,2288
2739,2467
2740,501
2741,158
2742,348
2743,2753
2744,73
2745,501
2746,2473
2747,199
2748,2457
2749,73
2750,73
2751,26
2752,38
2753,199
2754,1696
2755,2351
2756,1118
2757,Ungroupable
2758,1142
2759,Ungroupable
2760,2435
2761,38
2762,2351
2763,2351
2764,345
2765,90
2766,199
2767,2467
2768,2433
2769,199
2770,2457
2771,199
2772,38
2773,1179
2774,1216
2775,73
2776,158
2777,2778
2778,127
2779,37
2780,345
2781,4392
2782,1271
2783,1102
2784,514
2785,90
2786,2436
2787,199
2788,2749
2789,2351
2790,199
2791,345
2792,127
2793,199
2794,38
2795,428
2796,477
2797,199
2798,38
2799,3129
2800,38
2801,1055
2802,1118
2803,2351
2804,2351
2805,38
2806,1707
2807,38
2808,2336
2809,2288
2810,2351
2811,38
2812,127
2813,127
2814,73
2815,73
