Sequence Type,NG-STAR_CC
1740,1464
1741,2473
1742,497
1743,199
1744,348
1745,Ungroupable
1746,958
1747,1054
1748,Ungroupable
1749,1958
1750,1529
1751,426
1752,426
1753,309
1754,1958
1755,309
1756,357
1757,Ungroupable
1758,Ungroupable
1759,1771
1760,352
1761,Ungroupable
1762,309
1763,271
1764,1525
1765,42
1766,Ungroupable
1767,958
1768,1632
1769,1771
1770,1758
1771,1771
1772,352
1781,732
1782,427
1783,Ungroupable
1784,426
1785,Ungroupable
1786,309
1787,199
1788,1675
1789,801
1791,801
1792,Ungroupable
1793,714
1794,Ungroupable
1797,1665
1798,714
1799,714
1800,714
1802,1771
1803,1525
1804,426
1805,1387
1807,90
1808,42
1809,426
1810,1387
1811,352
1812,1938
1813,1606
1815,1387
1816,199
1817,42
1818,1818
1819,63
1820,42
1821,42
1822,442
1823,42
1824,1387
1825,3043
1827,1387
1828,1387
1830,622
1831,625
1832,1387
1833,1769
1834,1958
1835,1958
1836,896
1837,2209
1838,949
1839,1839
1840,2473
1841,309
1842,271
1843,426
1844,55
1845,390
1846,73
1847,124
1848,442
1849,427
1850,309
1851,1203
1852,Ungroupable
1853,714
1854,1665
1855,1751
1856,309
1857,1340
1858,1722
1859,Ungroupable
1860,801
1861,1667
1862,455
1863,90
1864,801
1865,1223
1866,168
1867,73
1868,160
1869,1387
1870,42
1871,1958
1872,42
1873,1096
1874,Ungroupable
1875,63
1876,1771
1877,124
1878,2047
1879,958
1880,1958
1881,137
1882,231
1883,51
1884,182
1885,1885
1886,90
1887,231
1888,893
1889,55
1890,1271
1891,390
1892,Ungroupable
1893,178
1894,Ungroupable
1895,73
1896,732
1897,231
1898,442
1899,Ungroupable
1900,426
1901,1771
1902,3574
1903,178
1904,2018
1905,2351
1906,55
1907,3574
1908,1804
1909,467
1910,433
1911,467
1912,426
1913,426
1914,42
1915,264
1916,Ungroupable
1917,168
1918,1804
1919,63
1920,427
1921,606
1922,Ungroupable
1923,1959
1924,1487
1925,90
1926,309
1927,714
1928,1487
1929,1271
1930,1271
1931,455
1932,1054
1933,309
1934,1215
1935,1635
1936,1632
1937,Ungroupable
1938,426
1939,1607
1940,1543
1941,1769
1942,1754
1943,1054
1944,Ungroupable
1945,309
1946,1934
1947,426
1948,42
1949,Ungroupable
1950,2580
1951,931
1952,442
1953,2430
1954,1203
1955,949
1956,309
1957,1340
1958,1958
1959,1959
1960,1387
1961,199
1962,1271
1963,352
1964,301
1965,247
1966,1586
1967,1340
1968,754
1969,1387
1970,168
1971,168
1972,1769
1973,1645
1974,Ungroupable
1975,38
1976,3184
1977,2467
1978,1771
1979,3574
1980,426
1981,1038
1982,168
1983,714
1984,3111
1985,Ungroupable
1986,Ungroupable
1987,Ungroupable
1988,Ungroupable
1989,Ungroupable
1990,Ungroupable
1991,199
1992,Ungroupable
1993,213
1994,307
1995,307
1996,182
1997,63
1998,63
1999,352
2001,63
2002,63
2004,352
2005,949
2006,Ungroupable
2007,Ungroupable
2008,2049
2009,182
2010,352
2011,390
2012,1038
2013,20
2014,20
2015,20
2016,Ungroupable
2017,127
2018,1645
2019,309
2020,1096
2021,247
2022,85
2023,311
2024,2064
2025,2032
2026,42
2027,42
2028,352
2029,42
2030,42
2031,268
2032,2033
2033,352
2034,1958
2035,352
2036,1458
2037,352
2038,2041
2039,2028
2040,2028
2041,352
2042,2028
2043,178
2044,309
2045,1096
2046,309
2047,439
2048,2047
2049,55
2050,1115
2051,307
2052,928
2053,352
2054,801
2055,178
2056,1223
2057,309
2058,309
2059,268
2060,2028
2061,309
2062,309
2063,53
2064,1096
2065,309
2066,309
2067,1096
2068,1096
2069,309
2070,247
2071,309
2072,309
2073,1096
2074,309
2075,309
2076,309
2077,90
2078,178
2079,2092
2080,309
2081,63
2082,63
2083,3390
2084,73
2085,2209
2086,2041
2087,2036
2088,268
2089,2973
2090,2018
2091,2018
2092,2092
2093,801
2094,801
2095,Ungroupable
2096,2098
2097,2098
2098,2098
2099,801
2100,239
2101,2028
2102,870
2103,Ungroupable
2104,2117
2105,90
2106,90
2107,2838
2108,90
2109,90
2110,90
2111,90
2112,90
2113,90
2114,468
2115,352
2116,239
2117,2117
2118,3597
2119,268
2120,3111
2121,1340
2122,2032
2123,1645
2124,142
2125,2804
2126,268
2127,384
2128,2028
2129,309
2130,26
2131,73
2132,801
2133,2041
2134,Ungroupable
2135,309
2136,20
2137,309
2138,309
2139,1096
2140,264
2141,90
2142,2028
2143,90
2144,63
2145,2039
2146,1645
2147,247
2148,1387
2149,442
2150,42
2151,42
2152,1021
2153,348
2154,319
2155,2036
2156,2209
2157,409
2158,55
2159,455
2160,247
2161,Ungroupable
2162,Ungroupable
2163,137
2164,127
2165,345
2166,178
2167,178
2168,352
2169,178
2170,1586
2171,231
2172,182
2173,2209
2174,168
2175,42
2176,Ungroupable
2177,1387
2178,1387
2179,38
2180,42
2181,194
2182,42
2183,63
2184,168
2185,1460
2186,1959
2187,168
2188,442
2189,1687
2190,127
2191,1387
2192,63
2193,63
2194,1997
2195,3597
2196,754
2197,606
2198,754
2199,3574
2200,2192
2201,199
2202,427
2203,55
2204,1124
2205,433
2206,426
2207,427
2208,199
2209,2209
2210,958
2211,958
2212,73
2213,42
2214,90
2215,801
2216,307
2217,1958
2218,463
2219,870
2220,Ungroupable
2221,2028
2222,801
2223,247
2224,63
2225,2117
2226,90
2227,63
2228,931
2229,Ungroupable
2230,124
2231,42
2232,2053
2233,Ungroupable
2234,1632
2235,Ungroupable
2236,352
2237,309
2238,233
2239,199
2240,1038
2241,1771
2242,Ungroupable
2243,199
2244,304
2245,199
2246,199
2247,199
2248,37
2249,2436
2250,1687
2251,199
2252,199
2253,90
2254,90
2255,73
2256,199
2257,90
2258,1687
2259,1695
2260,1118
2261,199
2262,Ungroupable
2263,1696
2264,1155
2265,124
2266,1118
2267,199
2268,958
2269,124
2270,3789
2271,517
2272,127
2273,73
2274,348
2275,428
2276,1687
2277,38
2278,199
2279,428
2280,1696
2281,38
2282,2441
2283,3264
2284,2254
2285,2441
2286,1698
2287,2441
2288,3336
2289,38
2290,38
2291,199
2292,1696
2293,199
2294,1118
2295,199
2296,348
2297,1118
2298,199
2299,1696
2300,428
2301,1118
2302,428
2303,1118
2304,1118
2305,1696
2306,1695
2307,199
2308,514
2309,348
2310,73
2311,1118
2312,1105
2313,127
2314,1698
2315,929
2316,929
2317,2436
2318,514
2319,1142
2320,514
2321,348
2322,199
2323,1118
2324,127
2325,501
2326,124
2327,199
2328,Ungroupable
2329,124
2330,798
2331,1118
2332,2473
2333,2758
2334,515
2335,1696
2336,2441
2337,170
2338,1695
2339,199
2340,3805
2341,798
2342,73
2343,346
2344,501
2345,1687
2346,501
2347,73
2348,501
2349,348
2350,497
2351,2351
2352,221
2353,2352
2354,Ungroupable
2355,2351
2356,2351
2357,Ungroupable
2358,199
2359,199
2360,2457
2361,90
2362,90
2363,497
2364,1656
2365,1118
2366,127
2367,127
2368,309
2369,199
2370,2473
2371,199
2372,1695
2373,1687
2374,497
2375,1118
2376,1463
2377,2473
2378,428
2379,199
2380,Ungroupable
2381,497
2382,2473
2383,2473
2384,231
2385,38
2386,2473
2387,452
2388,Ungroupable
2389,1464
2390,348
2391,309
2392,2435
2393,199
2394,1155
2395,2454
2396,90
2397,1155
2398,2351
2399,1096
2400,345
2401,426
2402,1900
2403,26
2404,2480
2405,127
2406,426
2407,2352
2408,1771
2409,Ungroupable
2410,3264
2411,1464
2412,199
2413,427
2414,426
2415,898
2416,517
2417,470
2418,199
2419,1464
2420,2337
2421,1216
2422,2288
2423,1464
2424,501
2425,936
2426,427
2427,199
2428,199
2429,199
2430,199
2431,90
2432,199
2433,199
2434,929
2435,199
2436,90
2437,127
2438,199
2439,1696
2440,1696
2441,2441
2442,1696
2443,2288
2444,1695
2445,38
2446,199
2447,1696
2448,1118
2449,1118
2450,2436
2451,929
2452,38
2453,1687
2454,514
2455,1687
2456,2454
2457,199
2458,345
2459,1118
2460,1229
2461,2454
2462,2442
2463,1687
2464,1698
2465,501
2466,1695
2467,2467
2468,1216
2469,2351
2470,2473
2471,497
2472,2453
2473,2473
2474,2473
2475,2473
2476,426
2477,426
2478,Ungroupable
2479,347
2480,1771
2481,199
2482,127
2483,1464
2484,2473
2485,2351
2486,898
2487,348
2488,Ungroupable
2489,1118
2490,Ungroupable
2491,1142
2492,929
2493,2530
2494,1118
2495,497
2496,38
2497,1698
2498,1463
2499,3268
2500,2473
2501,1695
2502,73
2503,127
2504,199
2505,1144
2506,199
2507,1696
2508,1687
2509,1707
2510,497
2511,1340
2512,199
2513,38
2514,352
2515,801
2516,1223
2517,1560
2518,264
2519,55
2520,3574
2521,427
2522,1938
2523,3597
2524,2028
2525,390
2526,158
2527,2028
2528,2530
2529,1118
2530,38
2531,1118
2532,73
2533,Ungroupable
2534,90
2535,348
2536,2473
2537,427
2538,427
2539,199
2540,1696
2541,2288
2542,1464
2543,Ungroupable
2544,1695
2545,267
2546,42
2547,90
2548,190
2549,90
2550,142
2551,124
2552,124
2553,3087
2554,23
2555,307
2556,Ungroupable
2557,20
2558,1115
2559,1586
2560,352
2561,455
2562,1054
2563,401
2564,124
2565,63
2566,929
2567,127
2568,1096
2569,3311
2570,949
2571,158
2572,517
2573,192
2574,348
2575,1958
2576,1340
2577,1958
2578,199
2579,1771
2580,190
2581,433
2582,625
2583,124
2584,90
2585,1353
2586,352
2587,3087
2588,455
2589,1839
2590,304
2591,17
2592,3477
2593,426
2594,231
2595,Ungroupable
2596,426
2597,3574
2598,247
2599,907
2600,1359
2601,426
2602,158
2603,2064
2604,1771
2605,63
2606,Ungroupable
2607,90
2608,352
2609,42
2610,426
2611,1387
2612,426
2613,427
2614,1771
2615,42
2616,2720
2617,1340
2618,436
2619,2069
2620,63
2621,426
2622,124
2623,384
2624,2047
2625,2117
2626,1771
2627,1958
2628,1997
2629,1458
2630,1771
2631,311
2632,754
2633,26
2634,Ungroupable
2635,309
2636,3111
